RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
172,"RL30588","12/13/2017","Afghanistan: Post-Taliban Governance, Security, and U.S. Policy","https://crsreports.congress.gov/product/pdf/download/RL/RL30588/RL30588.pdf/","278","02/17/2005"
173,"R43540","5/9/2014","Afghanistan: Drug Trafficking and the 2014 Transition","https://crsreports.congress.gov/product/pdf/download/R/R43540/R43540.pdf/","4","05/12/2014"
174,"R40764","5/13/2011","Department of Defense Contractors in Afghanistan and Iraq: Background and Analysis","https://crsreports.congress.gov/product/pdf/download/R/R40764/R40764.pdf/","20","08/19/2009"
175,"RL33627","12/3/2009","NATO in Afghanistan: A Test of the Transatlantic Alliance","https://crsreports.congress.gov/product/pdf/download/RL/RL33627/RL33627.pdf/","24","08/28/2006"
176,"R46670","2/4/2021","U.S. Military Drawdown in Afghanistan: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R46670/R46670.pdf/","3","02/05/2021"
177,"R45818","7/18/2019","Afghanistan: Background and U.S. Policy","https://crsreports.congress.gov/product/pdf/download/R/R45818/R45818.pdf/","2","07/19/2019"
178,"R40835","5/13/2011","The Department of Defense's Use of Private Security Contractors in Afghanistan and Iraq: Background, Analysis, and Options for Congress","https://crsreports.congress.gov/product/pdf/download/R/R40835/R40835.pdf/","15","09/29/2009"
179,"R41484","11/9/2010","Afghanistan: U.S. Rule of Law and Justice Sector Assistance","https://crsreports.congress.gov/product/pdf/download/R/R41484/R41484.pdf/","2","11/10/2010"
180,"R45329","8/19/2020","Afghanistan: Issues for Congress and Legislation 2017-2020 ","https://crsreports.congress.gov/product/pdf/download/R/R45329/R45329.pdf/","6","10/03/2018"
181,"R40699","8/21/2012","Afghanistan: U.S. Foreign Assistance","https://crsreports.congress.gov/product/pdf/download/R/R40699/R40699.pdf/","18","07/10/2009"
182,"IN11101","4/16/2019","International Criminal Court: U.S. Response to Examination of Atrocity Crimes in Afghanistan","https://crsreports.congress.gov/product/pdf/download/IN/IN11101/IN11101.pdf/","4","04/16/2019"
183,"R42084","11/14/2011","Wartime Contracting in Afghanistan: Analysis and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R42084/R42084.pdf/","4","11/16/2011"
184,"RL32758","1/20/2006","U.S. Military Operations in the Global War on Terrorism: Afghanistan, Africa, the Philippines, and Colombia","https://crsreports.congress.gov/product/pdf/download/RL/RL32758/RL32758.pdf/","5","02/04/2005"
185,"IN10935","10/16/2018","Momentum Toward Peace Talks in Afghanistan?","https://crsreports.congress.gov/product/pdf/download/IN/IN10935/IN10935.pdf/","4","07/24/2018"
186,"R41084","12/6/2012","Afghanistan Casualties: Military Forces and Civilians","https://crsreports.congress.gov/product/pdf/download/R/R41084/R41084.pdf/","62","02/26/2010"
187,"RL34763","11/21/2008","Islamist Militancy in the Pakistan-Afghanistan Border Region and U.S. Policy","https://crsreports.congress.gov/product/pdf/download/RL/RL34763/RL34763.pdf/","4","11/26/2008"
188,"RL33503","3/27/2007","U.S. and Coalition Military Operations in Afghanistan: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL33503/RL33503.pdf/","6","06/30/2006"
189,"IN11017","1/11/2019","Military Construction Funding in the Event of a National Emergency ","https://crsreports.congress.gov/product/pdf/download/IN/IN11017/IN11017.pdf/","4","01/11/2019"
190,"RS22707","8/10/2011","Mine-Resistant, Ambush-Protected (MRAP) Vehicles: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RS/RS22707/RS22707.pdf/","21","08/21/2007"
191,"R41307","1/13/2011","Pakistan: Key Current Issues and Developments","https://crsreports.congress.gov/product/pdf/download/R/R41307/R41307.pdf/","10","06/29/2010"
192,"RL33760","12/20/2006","Foreign Affairs, Defense, and Trade: Key Issues for the 110th Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL33760/RL33760.pdf/","5","12/20/2006"
193,"IN11032","2/1/2019","Evaluating Possible U.S. Troop Withdrawals from Hostile Areas","https://crsreports.congress.gov/product/pdf/download/IN/IN11032/IN11032.pdf/","2","02/01/2019"
194,"RL34276","4/22/2008","FY2008 Emergency Supplemental Appropriations for International Affairs","https://crsreports.congress.gov/product/pdf/download/RL/RL34276/RL34276.pdf/","8","12/07/2007"
195,"RL33757","1/29/2008","U.S. Army and Marine Corps Equipment Requirements: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL33757/RL33757.pdf/","6","12/20/2006"
